car;version;engine;transmission;horsepower;torque;city_fuel_economy;highway_fuel_economy;payload_capacity;ground_clearance;hydraulic_power_steering;electric_power_steering;front_power_windows;rear_power_windows;power_door_locks;power_side_mirrors;infotainment_system;alloy_wheels;airbag;abs;stability_control;traction_control;hill_start_assist;tire_pressure_sensor;twilight_sensor ;steering_wheel_adjustment;air_conditioning;driver_seat_height_adjustment;keyless;rear_parking_sensors;front_parking_sensors;rear_view_camera;fog_lights;led_headlights;cruise_control;leather_seats;leather_steering_wheel;roof_rails;cost;warranty
Fiat Argo 2026;1.0 FIREFLY FLEX DRIVE MANUAL;1;manual;72;10.4;13.6;14.5;300;medium;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;manual;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;FALSE;96790;3
Fiat Argo 2026;1.0 FIREFLY FLEX DRIVE MANUAL + PACK DRIVE TOP;1;manual;72;10.4;13.6;14.5;300;medium;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;digital;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;99090;3
Fiat Argo 2026;1.3 FIREFLY FLEX TREKKING MANUAL;1.3;manual;101;13.2;12.1;13.5;300;high;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;manual;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;102790;3
Fiat Argo 2026;1.3 FIREFLY FLEX TREKKING MANUAL + Trekking TOP;1.3;manual;101;13.2;12.1;13.5;300;high;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;digital;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;105880;3
Fiat Argo 2026;1.3 FIREFLY FLEX DRIVE CVT;1.3;automatic;101;13.2;12.8;14.3;300;medium;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;TRUE;FALSE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;manual;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;107790;3
Fiat Argo 2026;1.3 FIREFLY FLEX DRIVE CVT + PACK S-DESIGN  ;1.3;automatic;101;13.2;12.8;14.3;300;medium;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;digital;TRUE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;TRUE;FALSE;TRUE;FALSE;111880;3
Fiat Argo 2026;1.3 FIREFLY FLEX TREKKING CVT;1.3;manual;101;13.2;12.1;13.5;300;high;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;manual;TRUE;FALSE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;TRUE;110790;3
Fiat Argo 2026;1.3 FIREFLY FLEX TREKKING CVT + Trekking TOP;1.3;automatic;101;13.2;12.7;13.9;300;high;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;2;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;tilt;digital;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;113880;3
Hyundai Hb20 2026;1.0 12V FLEX COMFORT MANUAL;1;manual;75;9.4;13.3;15.4;300;medium;FALSE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;FALSE;6;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;none;manual;TRUE;FALSE;FALSE;FALSE;FALSE;n/a;FALSE;TRUE;FALSE;FALSE;FALSE;95190;5
Hyundai Hb20 2026;1.0 12V FLEX LIMITED MANUAL;1;manual;75;9.4;13.3;15.4;300;medium;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;6;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;tilt and telescopic;manual;TRUE;TRUE;TRUE;FALSE;TRUE;n/a;FALSE;TRUE;FALSE;FALSE;FALSE;99290;5
Hyundai Hb20 2026;1.0 TGDI FLEX LIMITED AUTOMÁTICO;1;automatic;115;17.5;13.2;14.7;300;medium;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;6;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;tilt and telescopic;digital;TRUE;TRUE;TRUE;FALSE;TRUE;n/a;FALSE;TRUE;FALSE;FALSE;FALSE;121490;5
